dataset_name,epsilon,size_mb,num_records,num_attributes,num_categorical_attributes,num_continuous_attributes,max_categorical_unique,min_categorical_unique,mean_categorical_unique,entropy,skewness,kurtosis,mean_std_dev,mean_variance,mean_continuous_correlation,max_continuous_correlation,max_std_dev,max_variance,imbalance_ratio,outlier_percentage,avg_cat_uniqueness_ratio,singling_out_risk,linkability_risk,inference_risk,energy_knn,accuracy_knn,k-values,energy_logres,accuracy_logres
autism,0,0.255169868,702,20,18,2,67,2,6.388888889,1.158370778,7.265363524,149.2809285,9.50275804,139.3683301,0.00493373,0.009867459,16.50746501,272.4964012,2.714285714,1.282051282,0.025356125,0.370325342,0.033421645,0.106338308,0.056162,0.929078014,12,0.855003,0.95035461
autism,0.1,0.255169868,702,20,18,2,67,2,6.388888889,1.158370778,7.265363524,149.2809285,9.50275804,139.3683301,0.00493373,0.009867459,16.50746501,272.4964012,2.714285714,1.282051282,0.025356125,0.009229126,0,0.111792531,0.063248,0.858156028,12,0.809887,0.780141844
german,0,0.811710358,1000,21,15,6,10,2,3.866666667,1.342941031,0.75553486,0.803444831,474.828541,1328020.182,0.098305999,0.624984198,2822.736876,7967843.471,2.333333333,1.552380952,0.004,0.152331561,0,0.082529092,0.060566,0.705,14,0.530876,0.7
german,0.1,0.811710358,1000,21,15,6,10,2,3.866666667,1.342941031,0.75553486,0.803444831,474.828541,1328020.182,0.098305999,0.624984198,2822.736876,7967843.471,2.333333333,1.552380952,0.004,0.055235257,0,0.015951489,0.059161,0.745,14,0.382742,0.835
nursery,0,6.522705078,12960,9,9,0,5,2,3.555555556,1.708697111,0,0,0,0,0,0,0,0,2160,0,0.000274348,0,0,0.011580837,0.062457,0.880401235,51,8.302636,0.884645062
nursery,0.1,6.522705078,12960,9,9,0,5,2,3.555555556,1.708697111,0,0,0,0,0,0,0,0,2160,0,0.000274348,0,0,0.003169523,0.062397,0.802469136,51,4.866768,0.77507716
obesity,0,1.308423996,2111,18,9,9,7,2,3.333333333,0.926128415,0.138943104,-0.21419693,4.218552596,81.38095401,0.111167135,0.463136117,26.19117175,685.9774774,1.290441176,1.971156377,0.001752724,0,0,0.076732744,0.062182,0.992907801,21,1.723753,1
obesity,0.1,1.308423996,2111,18,9,9,7,2,3.333333333,0.926128415,0.138943104,-0.21419693,4.218552596,81.38095401,0.111167135,0.463136117,26.19117175,685.9774774,1.290441176,1.971156377,0.001752724,0,0,0.024098647,0.059039,0.191489362,21,1.887014,0.21749409
productivity_garment,0,0.195400238,691,16,6,10,30,1,7.833333333,1.990383885,3.234025209,42.65631979,477.1045144,1158284.21,0.125192632,0.57750386,2864.505604,8205392.355,1.494584838,4.070188133,0.011336228,0,0,0.059302356,0.061115,0.654676259,12,1.161171,0.899280576
productivity_garment,0.1,0.195400238,691,16,6,10,30,1,7.833333333,1.990383885,3.234025209,42.65631979,477.1045144,1158284.21,0.125192632,0.57750386,2864.505604,8205392.355,1.494584838,4.070188133,0.011336228,0,0,0.015853391,0.057817,0.697841727,12,0.403618,0.726618705
Adult_v2,0,24.65984535,45221,13,9,4,40,2,11,1.667646699,4.294931845,43.14233502,1984.143791,14127981.18,0.051411878,0.101991673,7506.511295,56347711.83,3.034707352,3.078385978,0.00024325,0,0,0.004099716,0.853337,0.817025981,95,15.178746,0.835931454
Adult_v2,0.1,24.65984535,45221,13,9,4,40,2,11,1.667646699,4.294931845,43.14233502,1984.143791,14127981.18,0.051411878,0.101991673,7506.511295,56347711.83,3.034707352,3.078385978,0.00024325,0,0,0.049065597,0.767336,0.789718076,95,6.807789,0.745273632
student-por,0,0.711771011,649,33,20,13,17,2,3.9,1.208785874,0.664939829,1.307526027,1.315602554,2.701176622,0.094101756,0.647476609,4.640758808,21.53664232,5.49,1.414763973,0.006009245,0.214159735,0,0.079063705,0.089656,0.784615385,11,0.882935,0.9
student-por,0.1,0.711771011,649,33,20,13,17,2,3.9,1.208785874,0.664939829,1.307526027,1.315602554,2.701176622,0.094101756,0.647476609,4.640758808,21.53664232,5.49,1.414763973,0.006009245,0.020815883,0,0.051985948,0.061562,0.930769231,11,0.598834,0.846153846
abalone,0,0.700719833,4177,9,2,7,3,3,3,1.400985654,0.620368776,11.03315324,0.174618389,0.049594567,0.764034156,0.986811585,0.490389018,0.240481389,9.61302682,0.734179235,0.000718219,0,0,0.038254166,0.146345,0.777511962,29,0.86026,0.772727273
abalone,0.1,0.700719833,4177,9,2,7,3,3,3,1.400985654,0.620368776,11.03315324,0.174618389,0.049594567,0.764034156,0.986811585,0.490389018,0.240481389,9.61302682,0.734179235,0.000718219,0,0,0,0.144452,0.344497608,29,0.298813,0.36722488
bank,0,2.734223366,4521,18,12,6,31,2,6.583333333,1.564516797,3.901883519,33.07426136,564.1103178,1522588.195,0.055544675,0.576860824,3009.638142,9057921.749,7.677543186,4.472953378,0.00154833,0.086867447,0,0.011371747,0.106216,0.875138122,30,1.709619,0.871823204
bank,0.1,2.734223366,4521,18,12,6,31,2,6.583333333,1.564516797,3.901883519,33.07426136,564.1103178,1522588.195,0.055544675,0.576860824,3009.638142,9057921.749,7.677543186,4.472953378,0.00154833,0.01195837,0,0.032440259,0.087733,0.722651934,30,0.677394,0.708287293
